inningsno,battingteam,playername,playerkey,runs,balls,fours,sixes,sr,howout,opponent,batpos,tournamentkey,matchid,source
2,JNS SUPREMOS (MT20CB 3.0),Urvish,urvish,12.0,12.0,1.0,0.0,100.0,b Mehyul G,BOMBAY VIKINGS (MT20CB 3.0),8,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Tanmay Godiawala,tanmay godiawala,8.0,5.0,1.0,0.0,160.0,not out,BOMBAY VIKINGS (MT20CB 3.0),9,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Pritesh Magodia,pritesh magodia,3.0,5.0,0.0,0.0,60.0,c Vinay B b Yash D,BOMBAY VIKINGS (MT20CB 3.0),10,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Aditya Jain,aditya jain,8.0,2.0,2.0,0.0,400.0,not out,BOMBAY VIKINGS (MT20CB 3.0),11,zootermt20cb3,3985,playwright
2,JNS SUPREMOS (MT20CB 3.0),Pratik Chitalia,pratik chitalia,7.0,7.0,1.0,0.0,100.0,lbw b Parth T,LEARNERS ACADEMY TITANS (MT20CB 3.0),1,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Aditya Jain,aditya jain,10.0,8.0,2.0,0.0,125.0,c Amritpal S b Gaurang .,LEARNERS ACADEMY TITANS (MT20CB 3.0),2,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Abhishek Pingley,abhishek pingley,23.0,17.0,3.0,1.0,135.29,c Amritpal S b Rajesh D,LEARNERS ACADEMY TITANS (MT20CB 3.0),3,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Lavesh Kalsekar,lavesh kalsekar,21.0,13.0,4.0,0.0,161.54,c Rohit S b Vineet .,LEARNERS ACADEMY TITANS (MT20CB 3.0),4,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Ameya Deshpande,ameya deshpande,2.0,4.0,0.0,0.0,50.0,b Vineet .,LEARNERS ACADEMY TITANS (MT20CB 3.0),5,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Tanmay Godiawala,tanmay godiawala,19.0,24.0,1.0,0.0,79.17,lbw b Swapnil .,LEARNERS ACADEMY TITANS (MT20CB 3.0),6,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Dr. Manaan Gandhi,dr manaan gandhi,34.0,31.0,2.0,1.0,109.68,Retired Hurt,LEARNERS ACADEMY TITANS (MT20CB 3.0),7,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Rajan Singh,rajan singh,10.0,11.0,0.0,1.0,90.91,not out,LEARNERS ACADEMY TITANS (MT20CB 3.0),8,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Varun Sood,varun sood,0.0,1.0,0.0,0.0,0.0,b Rajesh D,LEARNERS ACADEMY TITANS (MT20CB 3.0),9,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (MT20CB 3.0),Vishal Baxi,vishal baxi,5.0,4.0,1.0,0.0,125.0,not out,LEARNERS ACADEMY TITANS (MT20CB 3.0),10,zootermt20cb3,4033,playwright
2,JNS SUPREMOS (ISDT 8.0),Varun Sood,varun sood,5.0,7.0,0.0,0.0,71.43,b Suchit S,BD ROYALS (ISDT 8.0),1,zooterisdt8,3816,playwright
2,JNS SUPREMOS (ISDT 8.0),Pratik Chitalia,pratik chitalia,25.0,23.0,3.0,0.0,108.7,c Ankit S b Himanshu R,BD ROYALS (ISDT 8.0),2,zooterisdt8,3816,playwright
2,JNS SUPREMOS (ISDT 8.0),Dr. Manaan Gandhi,dr manaan gandhi,9.0,10.0,1.0,0.0,90.0,c Ankit S b Rishabh S,BD ROYALS (ISDT 8.0),3,zooterisdt8,3816,playwright
2,JNS SUPREMOS (ISDT 8.0),Rahul Agarwal,rahul agarwal,27.0,25.0,1.0,0.0,108.0,run out ( Amit M ),BD ROYALS (ISDT 8.0),4,zooterisdt8,3816,playwright
2,JNS SUPREMOS (ISDT 8.0),Abhishek Pingley,abhishek pingley,28.0,21.0,2.0,1.0,133.33,b Rajiv H,BD ROYALS (ISDT 8.0),5,zooterisdt8,3816,playwright
