tournamentkey,matchid,source,inningsno,bowlingteam,opponent,bowlername,playerkey,overs,maidens,runsconceded,wickets,econ
clt20s_pdf,4,txt,2,SUPREMOS,MISFITS,Pritesh Magodia,pritesh magodia,4,0.0,23.0,1.0,5.75
clt20s_pdf,4,txt,2,SUPREMOS,MISFITS,Rajan Singh,rajan singh,4,0.0,29.0,3.0,7.25
clt20s_pdf,4,txt,2,SUPREMOS,MISFITS,Kanav Hingorani,kanav hingorani,1,0.0,10.0,0.0,10.0
clt20s_pdf,5,txt,1,Zen Cricket Team,SUPREMOS,Milan Gohil,milan gohil,4,0.0,33.0,1.0,8.25
clt20s_pdf,5,txt,1,Zen Cricket Team,SUPREMOS,ELAN,elan,4,0.0,41.0,1.0,10.25
clt20s_pdf,5,txt,1,Zen Cricket Team,SUPREMOS,Aviral,aviral,1,0.0,14.0,0.0,14.0
clt20s_pdf,5,txt,1,Zen Cricket Team,SUPREMOS,Jeremy James,jeremy james,4,0.0,50.0,3.0,12.5
clt20s_pdf,5,txt,1,Zen Cricket Team,SUPREMOS,Lalit Nagulapati,lalit nagulapati,1,0.0,15.0,0.0,15.0
clt20s_pdf,5,txt,1,Zen Cricket Team,SUPREMOS,Parhtheshwar Sharma,parhtheshwar sharma,4,0.0,26.0,1.0,6.5
clt20s_pdf,5,txt,1,Zen Cricket Team,SUPREMOS,Ashlesh Shah,ashlesh shah,2,0.0,19.0,1.0,9.5
clt20s_pdf,5,txt,2,SUPREMOS,Zen Cricket Team,Vishal Baxi,vishal baxi,4,0.0,42.0,1.0,10.5
clt20s_pdf,5,txt,2,SUPREMOS,Zen Cricket Team,Shivam Tiwari,shivam tiwari,3,0.0,33.0,2.0,11.0
clt20s_pdf,5,txt,2,SUPREMOS,Zen Cricket Team,Varun Sood,varun sood,4,0.0,36.0,2.0,9.0
clt20s_pdf,5,txt,2,SUPREMOS,Zen Cricket Team,Rajan Singh,rajan singh,4,0.0,20.0,2.0,5.0
clt20s_pdf,5,txt,2,SUPREMOS,Zen Cricket Team,Abhishek P,abhishek p,1,0.0,11.0,0.0,11.0
clt20s_pdf,5,txt,2,SUPREMOS,Zen Cricket Team,Rahul agarwal,rahul agarwal,4,0.0,55.0,0.0,13.75
clt20s_pdf,6,txt,1,Falcons,SUPREMOS,Sonu,sonu,3,0.0,24.0,0.0,8.0
clt20s_pdf,6,txt,1,Falcons,SUPREMOS,Ashwath Nair,ashwath nair,4,0.0,24.0,2.0,6.0
clt20s_pdf,6,txt,1,Falcons,SUPREMOS,Abhijeet Gomare,abhijeet gomare,1,0.0,15.0,0.0,15.0
clt20s_pdf,6,txt,1,Falcons,SUPREMOS,Sumit Anand,sumit anand,4,0.0,15.0,0.0,3.75
clt20s_pdf,6,txt,1,Falcons,SUPREMOS,Yash Kasangottuwar,yash kasangottuwar,2,0.0,24.0,1.0,12.0
clt20s_pdf,6,txt,1,Falcons,SUPREMOS,Suvaaankoor Das,suvaaankoor das,3,0.0,36.0,2.0,12.0
clt20s_pdf,6,txt,1,Falcons,SUPREMOS,Vijayendra Sharma,vijayendra sharma,3,0.0,32.0,1.0,10.67
clt20s_pdf,6,txt,2,SUPREMOS,Falcons,Vishal Baxi,vishal baxi,4,0.0,22.0,1.0,5.5
clt20s_pdf,6,txt,2,SUPREMOS,Falcons,Pradeep Tewani,pradeep tewani,4,0.0,30.0,2.0,7.5
clt20s_pdf,6,txt,2,SUPREMOS,Falcons,Rajan Singh,rajan singh,4,0.0,20.0,1.0,5.0
clt20s_pdf,6,txt,2,SUPREMOS,Falcons,Varun Sood,varun sood,4,0.0,32.0,1.0,8.0
clt20s_pdf,6,txt,2,SUPREMOS,Falcons,Aditya Jain,aditya jain,4,0.0,39.0,0.0,9.75
clt20s_pdf,7,txt,1,SUPREMOS,Group Satellite Developers,Vishal Baxi,vishal baxi,4,0.0,19.0,2.0,4.75
clt20s_pdf,7,txt,1,SUPREMOS,Group Satellite Developers,Pradeep Tewani,pradeep tewani,4,0.0,30.0,0.0,7.5
clt20s_pdf,7,txt,1,SUPREMOS,Group Satellite Developers,Shivam Tiwari,shivam tiwari,4,0.0,37.0,2.0,9.25
clt20s_pdf,7,txt,1,SUPREMOS,Group Satellite Developers,Rajan Singh,rajan singh,4,0.0,12.0,3.0,3.0
clt20s_pdf,7,txt,1,SUPREMOS,Group Satellite Developers,Jairaj,jairaj,4,1.0,24.0,2.0,6.0
clt20s_pdf,7,txt,2,Group Satellite Developers,SUPREMOS,Deepak Gaikwad,deepak gaikwad,4,2.0,13.0,2.0,3.25
clt20s_pdf,7,txt,2,Group Satellite Developers,SUPREMOS,Manas Chavan,manas chavan,3,0.0,29.0,0.0,9.67
clt20s_pdf,7,txt,2,Group Satellite Developers,SUPREMOS,Vishal Yadav,vishal yadav,4,0.0,15.0,1.0,3.75
clt20s_pdf,7,txt,2,Group Satellite Developers,SUPREMOS,Harsh Lathia,harsh lathia,1,0.0,4.0,0.0,4.0
clt20s_pdf,7,txt,2,Group Satellite Developers,SUPREMOS,Krish Pardhi,krish pardhi,3,0.0,17.0,2.0,5.67
clt20s_pdf,7,txt,2,Group Satellite Developers,SUPREMOS,Ritik Kumar,ritik kumar,1,0.0,7.0,0.0,7.0
clt20s_pdf,7,txt,2,Group Satellite Developers,SUPREMOS,Kavaldeep Singh,kavaldeep singh,1.3,0.0,8.0,2.0,5.33
